null, null, null, null, null, null, 38.00, 8547, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 8547, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118271, null, null, null, 1, 男士内裤, 200005857, null, null, null, null, null, null, null, null, null, 50.00, 5662, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5662, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118272, null, null, null, 1, 男士内裤, 200005857, null, null, null, null, null, null, null, null, null, 50.00, 2005, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 2005, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118273, null, null, null, 1, 男士内裤, 200005857, null, null, null, null, null, null, null, null, null, 50.00, 5884, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5884, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118274, null, null, null, 1, 男士内裤, 200005857, null, null, null, null, null, null, null, null, null, 50.00, 5888, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5888, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118275, null, null, null, 1, 种子/种球, 200001503, null, null, null, null, null, null, null, null, null, 38.00, 887, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 887, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118276, null, null, null, 1, 种子/种球, 200001503, null, null, null, null, null, null, null, null, null, 60.00, 887, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 887, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118277, null, null, null, 1, 种子/种球, 200001503, null, null, null, null, null, null, null, null, null, 280.00, 888, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 888, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118278, null, null, null, 1, 数码线缆/转换器, 200005557, null, null, null, null, null, null, null, null, null, 38.00, 6655, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6655, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118279, null, null, null, 1, 多功能/万用清洁剂, 200001343, null, null, null, null, null, null, null, null, null, 38.00, 539, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 539, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118280, null, null, null, 1, 陶瓷/马克杯, 200005017, null, null, null, null, null, null, null, null, null, 38.00, 1052, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 1052, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118281, null, null, null, 1, 水龙头, 200005447, null, null, null, null, null, null, null, null, null, 38.00, 959, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 959, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
