"sku_id","条形码(upc/ean等)","商品类目名称","商品类目ID","app_spu_code","商品名称","商品图片","封面视频","店内分类","所处店内分类数量","规格名称","规格图","规格图url","店内码/货号","价格","库存","售卖状态","月售","重量","重量单位","起购数","货架码/位置码","创建时间","商品卖点","卖点展示期","文字详情","图片详情","品牌商图片详情","生产日期","到期日期","是否临期","是否过期","发货模式","预售的可配送时间","可售时间","商品属性","力荐","无理由退货","组合商品","参与的组合商品","是否四轮配送","合规状态","违规下架","必填信息缺失","审核状态","审核结果","顾客端聚合展示","商品限购","商品“缺货后库存自动清0”","库存清0时机","类目属性"
"平台根据商品及商品所处门店所生成的唯一编码","条形码为国家编码网收录的条码","商品的三级类目名称，即商品所属的平台三级类目","商品的三级类目ID，即商品所属的平台三级类目ID","系统对接商家识别商品的唯一标识码，非系统对接商家可忽略","","商品是否已上传图片","商品是否已上传封面视频","商家设置的店内分类，即顾客在购买时看到的商品所属分类。
一级分类与二级分类之间用“>”隔开，商品属于多个店内分类时，用“；”隔开","展示商品所处的店内分类数量，当前同一个商品支持关联多个店内分类","可以直接决定价格与库存的销售规格","商品是否已上传对应规格的规格图","对应规格图的url，复制后在浏览器中打开可查看对应图片","自行定义的商品店内编码","商品的售卖价格","商品的库存数量","商品的上下架状态","商品每个售卖规格的月销量","","","顾客加购时的最小购买数量","摆放商品的货架位置","商品被创建的时间","商品的突出卖点，限定15字以内","仅在指定时间段展示，表格数值为空时为全时段展示","对商品的详细描述","商品描述中是否有上传图片","该图片会展示到买家端的商品详情中，便于买家更直观了解商品，有利于提升商品销量。（图片来源于平台商品库，由品牌商提供）","仅部分类目支持，（支持类目可在Excel批量新建-类目表中查看）会在顾客端展示，过期商品将在顾客端隐藏，需及时更新","仅部分类目支持，（支持类目可在Excel批量新建-类目表中查看）会在顾客端展示，过期商品将在顾客端隐藏，需及时更新","商家自行填写的商品临期信息，仅部分类目支持，（支持类目可在Excel批量新建-类目表中查看）临期标准可参考临期商品管理要求","若商品设置的到期日期<当天日期，则会被平台判定为过期商品，过期商品不会在顾客端展示","商品的发货模式，分为现货直发与预售两种","时间段内顾客可预约配送","商品可售时间，展示所有设置的时段、是否预热、预热展示价格及可预约时间","顾客可根据属性值选择商品，但不区分价格与库存","商品是否为商家力荐的招牌商品","商品是否开启无理由退货及当前支持的无理由退货类型","商品本身是否为组合商品","商品所处组合商品的名称","商品是否采用四轮汽车配送的履约方式","商品当前的合规情况，即是否符合平台的售卖规范。","商品当前的合规下架提示。","商品是否存在必填信息缺失","商品的审核状态","商品的具体审核结果","若平台识别到商品除售卖件数不同外，其他信息均相同，将自动在顾客端聚合展示","商家设置的商品限制购买规则","商品是否已设置了缺货后库存自动清零的规则","缺货清0规则的判定标准，分为“商家”因缺货取消订单与“顾客”因缺货取消订单","商品所包含的所有类目属性，用于展示商品的详细信息，便于顾客更有效的了解商品"
"44194819812","2080226355526","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","颜色在图片里面可查看","无","","9780102612","0.1","588","售卖中","0","150.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819813","2080343155191","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","兰花紫+浅粉1张","无","","9780102613","1.0","886","售卖中","0","150.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819814","2080717433603","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","蜜瓜+奶茶1张","无","","9780102614","1.0","8888","售卖中","0","100.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819815","2080531448241","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","姜黄+奶茶1张","无","","9780102615","1.0","5588","售卖中","0","100.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819816","2080246454919","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","绿灰+雾霾蓝1张","无","","9780102616","1.0","584","售卖中","0","150.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819817","2080688801838","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","白色+白色1张","无","","9780102617","1.0","555","售卖中","0","160.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819818","2080228333614","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","丁香紫+裸粉1张","无","","9780102618","1.0","5887","售卖中","0","158.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819819","2080208540759","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","黑色+白色1张","无","","9780102619","1.0","5588","售卖中","0","155.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819820","2080132930725","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","黑色+黑色1张","无","","9780102620","1.0","3000","售卖中","0","158.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819821","2080755075889","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","抹茶+香槟1张","无","","9780102621","1.0","546","售卖中","0","180.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819822","2080277327763","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","嫣粉+亮粉1张","无","","9780102622","1.0","587","售卖中","0","150.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819823","2080282902078","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","水蓝+冰蓝1张","无","","9780102623","1.0","584","售卖中","0","150.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819824","2080554791850","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","抹茶+藕粉1张","无","","9780102624","1.0","888","售卖中","0","150.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819825","2080100701784","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","浅粉+嫩白1张","无","","9780102625","1.0","888","售卖中","0","558.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819826","2080374905918","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","摩洛哥蓝+牛仔蓝1张","无","","9780102626","1.0","587","售卖中","0","150.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819827","2080134481638","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","蜜桔+柠檬黄1张","无","","9780102627","1.0","388","售卖中","0","188.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"44194819828","2080130058582","礼品包装","200005319","ac993e6ec42acd620e80048aecb835c7","（58×58CM）包花纸花束包装纸双色双面欧雅纸花艺鲜花包装礼盒花束包装材料鲜花店花包花纸","有","无","装饰品>装饰","1","水绿色+嫩白1张","无","","9780102628","1.0","5878","售卖中","0","150.0","克(g)","1","","2026年1月2日-13:43","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","品牌：欧亚（Europe-Asia）。商品类别：糖盒。"
"39239966886","","手套","200001103","mtcode_1970468942435287056","【双倍加厚】独立小包装一次性手套外卖炸鸡鸭货龙虾食品商用批发","有","无","日用百货>一次性用品","1","随机一个","无","","","0.5","588","售卖中","0","588.0","克(g)","1","","2025年9月23日-20:20","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","商品类别：其他。"
"39239966887","","手套","200001103","mtcode_1970468942435287056","【双倍加厚】独立小包装一次性手套外卖炸鸡鸭货龙虾食品商用批发","有","无","日用百货>一次性用品","1","随机200个","无","","","50.0","566","售卖中","0","666.0","克(g)","1","","2025年9月23日-20:20","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","商品类别：其他。"
"39342077203","","其他厨房用具","200005000","mtcode_1971146183741620315","食用级空气炸锅纸盘圆形烤盘硅油垫纸家用烤箱大号烘焙牛油隔油纸","有","无","厨房用品>厨房辅材","1","白色25个有包装","无","","","25.0","555","售卖中","0","666.0","克(g)","1","","2025年9月25日-17:12","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","商品类别：其他。"
"39342077204","","其他厨房用具","200005000","mtcode_1971146183741620315","食用级空气炸锅纸盘圆形烤盘硅油垫纸家用烤箱大号烘焙牛油隔油纸","有","无","厨房用品>厨房辅材","1","颜色随机一个无包装","无","","","0.5","889","售卖中","0","55.0","克(g)","1","","2025年9月25日-17:12","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","商品类别：其他。"
"44196405635","2080751858271","一次性厨房用品","200004998","0361167bd28499c98ecebdcb512ab520","雪花酥月饼包装袋机封袋牛轧糖果蛋黄酥曲奇饼干包装袋自封袋带托","有","无","日用百货>袋子","1","1个","无","","9780104265","0.5","5888","售卖中","0","6.0","克(g)","1","","2026年1月2日-13:49","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","商品类别：封口膜/缠绕膜。"
"44196405636","2080632645389","一次性厨房用品","200004998","0361167bd28499c98ecebdcb512ab520","雪花酥月饼包装袋机封袋牛轧糖果蛋黄酥曲奇饼干包装袋自封袋带托","有","无","日用百货>袋子","1","30个","无","","9780104266","12.0","5599","售卖中","0","888.0","克(g)","1","","2026年1月2日-13:49","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","商品类别：封口膜/缠绕膜。"
"44195329403","2080708045945","节日庆典用品","200005326","475c1fcec4e164816dbd4921e94c69cd","（1套）花束支撑杆加硬气球托杆透明塑料配件管子拖头加长手持棍子托棒","有","无","装饰品>装饰","1","","无","","9780102323","0.5","408","售卖中","0","100.0","克(g)","1","","2026年1月2日-13:41","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货（定制类不支持)","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","商品类别：气球。"
"44194474511","2080181363567","家用五金工具","200005422","49ea8dd69b77853cde3b90fe42a8fcae","石膏板膨胀螺丝飞机膨胀管塑料胶塞胀塞空心砖专用蝴蝶型自攻胀钉","有","无","工具大全>钉类","1","30套","无","","9780107993","14.0","545","售卖中","0","100.0","克(g)","1","","2026年1月2日-14:05","","","","无","无","","","","","正常售卖","","营业全时段","类型：飞机型，蝴蝶型。","否","7天无理由退货","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","商品类别：磨类-修边机。"
"44194474512","2080435833945","家用五金工具","200005422","49ea8dd69b77853cde3b90fe42a8fcae","石膏板膨胀螺丝飞机膨胀管塑料胶塞胀塞空心砖专用蝴蝶型自攻胀钉","有","无","工具大全>钉类","1","一套","无","","9780107994","0.5","5521","售卖中","0","10.0","克(g)","1","","2026年1月2日-14:05","","","","无","无","","","","","正常售卖","","营业全时段","类型：飞机型，蝴蝶型。","否","7天无理由退货","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","商品类别：磨类-修边机。"
"44195625657","2080442944542","一次性厨房用品","200004998","59f0c0b345f45b7aa2e8133fc67a9ad7","创意定制小包装一次性手套加厚餐饮外卖龙虾吃鸡鸭货透明手套商用一个","有","无","无分类1>日常必须品","1","","无","","9780108753","0.5","588","售卖中","0","20.0","克(g)","1","","2026年1月2日-14:08","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单","商品类别：一次性手套。"
"44196083037","2080707733911","缝纫针织/毛线","200001671","acf228967472dc834bd339c1e02513ef","挂牌吊绳服装吊牌线手穿胶针箱包吊牌绳子母扣塑料胶针尖头手穿针一根","有","无","无分类1>日常必须品","1","","无","","9780112416","0.5","999","售卖中","0","10.0","克(g)","1","","2026年1月2日-13:26","","","","无","无","","","","","正常售卖","","营业全时段","","否","7天无理由退货","否","","否","","","否","已通过","","","","是","“商家”或“顾客”因缺货取消订单",""
